row,article_type_filter,doi,rank,filename,doc_sha256,edge_id,var1,var2,evidence,label
1,randomized controlled trial,10.1056/NEJMoa2405888,1,NEJMoa2405888.pdf,8a231b7571bc2716948f042e17bc19419b2d73582b96e246275dfeb8f385d405,86e8885d9c9d490299337d210ffa6bae,N+AVD,peripheral sensory neuropathy,"[chu_idx=425]
Peripheral sensory neuropathy of any grade occurred in 139 patients (29%) who received

[chu_idx=426]
N+AVD, as compared with 266 patients (56%) who received BV+AVD; 9% of those in the",NA
1,randomized controlled trial,10.1056/NEJMoa2405888,1,NEJMoa2405888.pdf,8a231b7571bc2716948f042e17bc19419b2d73582b96e246275dfeb8f385d405,6c3fd11f95464713868f98221be712db,BV+AVD,1-year progression-free survival,"[chu_idx=316]
One-year progression-free survival was 94% (95% CI, 91 to 96) with N+AVD, as compared with 86% (95% CI, 82 to 90) with BV+AVD.",NA
2,randomized controlled trial,10.1136/bjsports-2020-103403,2,501.full.pdf,c3ce1fb927c5c97a7df62f62aba50cf5bd548fc2253ffaefaa3f803bdd8e23b2,c3bf3a565f4442dc9ca3a850fb1a9219,PTLE vs EET,return to sport rate,"[chu_idx=70]
There was a trend towards a higher return to sports rate in the

[chu_idx=71]
PTLE group (43% vs 27%, p=0.13).",NA
2,randomized controlled trial,10.1136/bjsports-2020-103403,2,501.full.pdf,c3ce1fb927c5c97a7df62f62aba50cf5bd548fc2253ffaefaa3f803bdd8e23b2,a3d3b8a4864e4f48ada9d02c75a1c7a4,symptom duration,return to sport rate at 12 weeks,"[chu_idx=440]
The return to sports rate after 12 weeks (p=0.12) and 24 weeks (p=0.25) was not influenced by the symptom duration prior to the interventions.

[chu_idx=456]
The return to sports rate after 12 weeks (p=0.12) and 24 weeks (p=0.25) was not influenced by the symptom duration prior to the interventions.",NA
2,randomized controlled trial,10.1136/bjsports-2020-103403,2,501.full.pdf,c3ce1fb927c5c97a7df62f62aba50cf5bd548fc2253ffaefaa3f803bdd8e23b2,c13183665221486d8f1b1da229630916,patellar tendon stiffness (shear-wave elastography),patellar tendinopathy,"[chu_idx=1151]
The association between Patellar tendon stiffness measured with shearw ave elastography and Patellar tendinopathya case-",NA
4,randomized controlled trial,10.1016/j.vaccine.2022.08.036,4,1-s2.0-S0264410X22010283-main.pdf,79591d055f1066325726c99845bf1ed4a9383d3bdf6104e4997ac4e214bab758,fef92924350f48f099adf2ad6c89ecad,vaccination status,serious adverse events of special interest,"[chu_idx=215]
This difference corresponds to a 36 % higher risk of serious AESI (RR 1.36 95 % CI 0.93 to 1.99) and a risk difference of 15.1 serious AESI per 10,000 vaccinated participants (95 % CI /C0 3.6 to 33.8).

[chu_idx=216]
Combining the trials, there was a 43 % higher risk of serious AESI (RR 1.43; 95 % CI 1.07 to 1.92) and a risk difference of 12.5 serious AESI per 10,000 vaccinated participants (95 % CI 2.1 to 22.9).",NA
4,randomized controlled trial,10.1016/j.vaccine.2022.08.036,4,1-s2.0-S0264410X22010283-main.pdf,79591d055f1066325726c99845bf1ed4a9383d3bdf6104e4997ac4e214bab758,7fdc4a00055940d8b7d18ed4ccb3c268,treatment arm,serious adverse events of special interest,"[chu_idx=230]
There was still a higher risk of serious AESI when limited to the SPEAC COVID- 19 AESI list, but the magnitude of the excess (in both relative and absolute terms) was smaller than when using the larger AESI list.",NA
4,randomized controlled trial,10.1016/j.vaccine.2022.08.036,4,1-s2.0-S0264410X22010283-main.pdf,79591d055f1066325726c99845bf1ed4a9383d3bdf6104e4997ac4e214bab758,e0d6bc8ee6fc4b8baca51884b3ff54f3,combined,serious adverse events,"[chu_idx=320]
Risk ratio (95 % CI) e

[chu_idx=322]
Serious adverse events

[chu_idx=325]
Combinedf 333 (98.0) 288 (84.8) 13.2 (-3.2 to 29.6) 1.16 (0.97 to 1.39)",NA
4,randomized controlled trial,10.1016/j.vaccine.2022.08.036,4,1-s2.0-S0264410X22010283-main.pdf,79591d055f1066325726c99845bf1ed4a9383d3bdf6104e4997ac4e214bab758,8ba53de81f2a405b87034f853b110626,mRNA COVID-19 vaccines,cardiovascular events,"[chu_idx=384]
EudraVigilance comparing the disproportionality of adverse event reports between the inﬂuenza vaccine versus the mRNA COVID- 19 vaccines reported excess risks for the following Brighton AESIs: cardiovascular events, coagulation events, hemorrhages, gastrointestinal events, and thromboses.",NA
4,randomized controlled trial,10.1016/j.vaccine.2022.08.036,4,1-s2.0-S0264410X22010283-main.pdf,79591d055f1066325726c99845bf1ed4a9383d3bdf6104e4997ac4e214bab758,b41fb485c2c94499b02da60fef046af2,mRNA COVID-19 vaccines,hemorrhages,"[chu_idx=384]
EudraVigilance comparing the disproportionality of adverse event reports between the inﬂuenza vaccine versus the mRNA COVID- 19 vaccines reported excess risks for the following Brighton AESIs: cardiovascular events, coagulation events, hemorrhages, gastrointestinal events, and thromboses.",NA
