row,article_type_filter,doi,rank,filename,doc_sha256,edge_id,var1,var2,evidence,label
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,5b29049f4a804bfc8cc325b7547754f6,physical activity level,mGCIPL thickness,"[chu_idx=47]
Conclusions: Higher overall PA level and greater time spent in moderate and vigorous PA were not associated with glaucoma status but were associated with thicker mGCIPL.",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,2b646aa49c64422fb2fd872819367e60,intense exercise level,retinal ganglion cell death resistance,"[chu_idx=64]
Animal studies have shown that intense exercise may protect the optic nerve from injury caused by elevated IOP and may attenuate retinal in ﬂammatory responses.20,21 High levels of intense exercise in rats were associated with an increased ability to withstand retinal ganglion cell (RGC) death after acute elevations in IOP, 20 and rats with axotomized optic nerves placed in a forced PA group showed greater RGC survival rates than rats that were not subjected to high levels of activity.",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,6eb5f5240aa34315b0a789d1206f060c,leisure screen time,glaucoma outcomes,"[chu_idx=246]
We conducted 2-sample MR analyses to test for a causal association between 2 genetically determined PA phenotypes and 5 glaucoma-related outcomes.

[chu_idx=247]
We used published data from a recent large GWAS meta-analysis of physical activity 51 to construct instrumental variables for leisure screen time (LST) and moderate to vigorous physical activity (MVPA).",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,5bc3357df9f64487964a64a80cfe3fab,physical activity level,mGCIPL thickness,"[chu_idx=285]
Higher levels of self-reported

[chu_idx=286]
PA were associated with a thicker mGCIPL ( P < 0.001 for trend; Table S5, available at www.aaojournal.org).",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,11f4e7fc86cc4cac89b171ae698b062d,Vigorous physical activity,Reference group,"[chu_idx=472]
Vigorous 1.00 (0.99 e1.00) 0.19 1.00 (0.99 e1.00) 0.24",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,d82eea0f78c74e66b0fe348c0c6d522c,Quartile 2,Hazard ratio,"[chu_idx=486]
Quartile 2 0.97 (0.84 e1.12) 0.67 0.69 (0.52 e0.90) 0.007",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,ba7b3289e6a34f7dbda13484c2bbbea6,Physical activity quartile 4,Hazard ratio,"[chu_idx=494]
Quartile 4 0.91 (0.79 e1.05) 0.21 0.84 (0.62 e1.14) 0.28",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,8b1a9718df624be6bae4b6aa235f397c,Quartile 3,Hazard ratio,"[chu_idx=499]
Quartile 3 0.95 (0.82 e1.10) 0.49 dd",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,c4258d1fdf98485cab835f55201d9c70,Forced exercise,Optic nerve protection against IOP injury,"[chu_idx=900]
Forced exercise protects the aged optic nerve against intraocular pressure injury.",NA
3,observational study,10.1016/j.nedt.2024.106258,3,1-s2.0-S0260691724001680-main.pdf,95482cf8bb68fb0973c959300e88787615561f2824a6f434f0bfc9ce7f94372d,57a1f173ffbc440d989e4dd83d6a9c9b,problem-focused coping,psychological well-being,"[chu_idx=275]
However, this type of coping strategy was directly and significantly associated with resilience and psychological wellbeing, and indirectly with depressive symptoms.",NA
5,observational study,10.1186/s13054-023-04763-5,5,s13054-023-04763-5.pdf,ca8f5fb97f667c7a2f1e48f535ef832f5d0727af91c033358eec07cb8c0c80fb,6e4466021d6d44e69082962523f1d7a0,rheumatoid arthritis,sepsis,"[chu_idx=281]
In the univariable MR study, there was a causal association between genetically predicted RA (OR = 1.077, 95%

[chu_idx=282]
CI = 1.058–1.097, p = 1.00E-15) and T1DM (OR = 1.036, 95% CI = 1.023–1.048, p = 9.130E-09) with sepsis.

[chu_idx=334]
After mul tivariable adjustment, we found that RA (OR = 1.091, 95% CI = 1.061–1.123, p = 1.66E-09) continues to exhibit a causal association with sepsis by adjusting for SLE (Fig.

[chu_idx=348]
After mul tivariable adjustment, we found that RA (OR = 1.091, 95% CI = 1.061–1.123, p = 1.66E-09) continues to exhibit a causal association with sepsis by adjusting for SLE (Fig.",NA
