row,article_type_filter,doi,rank,filename,doc_sha256,edge_id,var1,var2,evidence,label
1,randomized controlled trial,10.1056/NEJMoa2405888,1,NEJMoa2405888.pdf,8a231b7571bc2716948f042e17bc19419b2d73582b96e246275dfeb8f385d405,ce49af9a0f924b22bd9b234d958ba405,colitis,treatment group,"[chu_idx=428]
Occurrences of pneumonitis, gastritis, rash, and colitis were similar in the two groups (Table S9).",NA
1,randomized controlled trial,10.1056/NEJMoa2405888,1,NEJMoa2405888.pdf,8a231b7571bc2716948f042e17bc19419b2d73582b96e246275dfeb8f385d405,d52fbdd5d1f843cd8107621b1c5ea385,anorexia,abdominal pain,"[chu_idx=590]
Anorexia 61 (13) 106 (22)

[chu_idx=591]
Abdominal pain 58 (12) 107 (22)",NA
1,randomized controlled trial,10.1056/NEJMoa2405888,1,NEJMoa2405888.pdf,8a231b7571bc2716948f042e17bc19419b2d73582b96e246275dfeb8f385d405,8a1b95911d394f2f9f1007de31a1a5a6,abdominal pain,platelet count decreased,"[chu_idx=591]
Abdominal pain 58 (12) 107 (22)

[chu_idx=593]
Platelet count decreased 52 (11) 86 (18)",NA
2,randomized controlled trial,10.1136/bjsports-2020-103403,2,501.full.pdf,c3ce1fb927c5c97a7df62f62aba50cf5bd548fc2253ffaefaa3f803bdd8e23b2,7852b5df27f042a8b30ec9d080cabf0e,exercise adherence,treatment group,"[chu_idx=72]
No significant betweengroup difference w as found for subjective patient satisfaction (81% vs 83%, p=0.54) and exercise adherence between the PTLE group and EET group after 24 weeks (40% vs 49%, p=0.33).",NA
2,randomized controlled trial,10.1136/bjsports-2020-103403,2,501.full.pdf,c3ce1fb927c5c97a7df62f62aba50cf5bd548fc2253ffaefaa3f803bdd8e23b2,ce11ac2f49a740cea2fa81f937a50106,symptom duration,treatment group,"[chu_idx=405]
group differences in baseline characteristics, except for a longer symptom duration in the intervention group (119 vs 78 weeks) and more ultrasoundassessed erosions of the inferior patellar border (45% vs 18%) in the intervention group (table 1",NA
4,randomized controlled trial,10.1016/j.vaccine.2022.08.036,4,1-s2.0-S0264410X22010283-main.pdf,79591d055f1066325726c99845bf1ed4a9383d3bdf6104e4997ac4e214bab758,a2de6b95a7064ea8831efc9271d39725,serious adverse events,Pfizer trial,"[chu_idx=241]
In their review of SAEs supporting the authorization of the Pﬁzer and Moderna vaccines, the FDA concluded that SAEs were, for

[chu_idx=242]
Pﬁzer, ‘‘balanced between treatment groups,” [15] and for Moderna, were ‘‘without meaningful imbalances between study arms.” [16] In contrast to the FDA analysis, we found an excess risk of

[chu_idx=243]
SAEs in the Pﬁzer trial.",NA
4,randomized controlled trial,10.1016/j.vaccine.2022.08.036,4,1-s2.0-S0264410X22010283-main.pdf,79591d055f1066325726c99845bf1ed4a9383d3bdf6104e4997ac4e214bab758,61fd28a41296402593653e54a216cc57,Bell's palsy,COVID-19,"[chu_idx=431]
Bell’s Palsy 1 0 0.7 0.0 0.7 N/A

[chu_idx=433]
Seen with COVID-19",NA
5,randomized controlled trial,10.1056/NEJMoa2102383,5,NEJMoa2102383.pdf,5386174a842adc587038870e0476c2bfe17b7de9a7d24f174116a9d8477a8f84,fba536e8127d4955ab158386b920c518,bimekizumab,PASI 75 response,"[chu_idx=36]
At the week 4 time point, 265 patients (71.0%) in the bimekizumab group had 75% or greater reduction from baseline in the PASI score, as compared with 175 patients (47.3%) in the secukinumab group (adjusted risk difference, 23.7; 95% CI, 17.0 to 30.4; P<0.001).",NA
5,randomized controlled trial,10.1056/NEJMoa2102383,5,NEJMoa2102383.pdf,5386174a842adc587038870e0476c2bfe17b7de9a7d24f174116a9d8477a8f84,b75bd3a8083048ac8a806ddffe9489de,bimekizumab,oral candidiasis,"[chu_idx=37]
Oral candidiasis occurred more often with bimekizumab (72 patients, 19.3%) than with secukinumab (11 patients, 3.0%).",NA
5,randomized controlled trial,10.1056/NEJMoa2102383,5,NEJMoa2102383.pdf,5386174a842adc587038870e0476c2bfe17b7de9a7d24f174116a9d8477a8f84,59af990a784c4e158df0e933ce3873f3,bimekizumab,oral candidiasis,"[chu_idx=44]
Oral candidiasis occurred more often with bimekizumab (72 patients, 19.3%) than with secukinumab (11 patients, 3.0%).

[chu_idx=68]
BE SURE10 trials, bimekizumab led to greater clinical improvements in patients with moder ate-to-severe plaque psoriasis than placebo, than the interleukin-12/23 inhibitor ustekinumab, and than the tumor necrosis factor inhibitor adali mumab but was associated with a greater inci dence of oral candidiasis.",NA
