row,article_type_filter,doi,rank,filename,doc_sha256,edge_id,var1,var2,evidence,label
1,observational study,10.1097/CM9.0000000000002753,1,hypertension_and_nafld_risk__insights_from_the.9.pdf,fa4c05e72b5636dfdace2061fdff8abe059895b9b0b8f13e70c41b44b699205e,cf8ec25972884fdb8011057966923d7e,NAFLD,age,"[chu_idx=121]
However ,  hypertension and NAFLD often co-exist in the same individual in a complex two-way relationship as they share common metabolic risk factors ,  such as age , obesity ,  and IR .

[chu_idx=138]
However ,  hypertension and NAFLD often co-exist in the same individual in a complex two-way relationship as they share common metabolic risk factors ,  such as age , obesity ,  and IR .",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,01b4d7822f564825b7c5f2352da8fea9,single nucleotide polymorphisms (SNPs),Glaucoma,"[chu_idx=219]
For glaucoma-related genetic variants, we constructed a polygenic risk score (PRS) based on 2673 independent single nucleotide polymorphisms (SNPs) associated with glaucoma ( P /C20 0.001) from a recent multitrait analysis of a genome-wide association study (GWAS) that included the UK Biobank.

[chu_idx=223]
GWAS to generate a glaucoma PRS for each participant using a standard weighted sum of individual SNPs: X 2673 i ¼ 1 bbðiÞ /C3 SNPðiÞ; where bbðiÞ is the estimated effect size of SNP (i) on glaucoma.",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,6962fae39f24467083c67effe5fc85f3,self-reported physical activity,Intraocular Pressure,"[chu_idx=264]
In a maximally adjusted multivariable model, self-reported overall habitual moderate and high PA levels were associated with a very modestly higher IOP compared with participants who reported the lowest level of overall PA (difference in

[chu_idx=265]
IOP: þ0.06 mmHg [95% con ﬁdence interval [CI], 0.00 e0.12 mmHg; P ¼ 0.037] for moderate and þ0.08 mmHg [95% CI, 0.02e0.14 mmHg; P ¼ 0.010] for high) with an overall signi ﬁcant trend for higher habitual overall PA associated with very modestly higher IOP ( P ¼ 0.017 for trend; Table 3 ).",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,52ab7113d4e84eec916fb5ba844af655,Intraocular Pressure,Smoking Status,"[chu_idx=590]
*b Coefﬁcient represents intraocular pressure difference using multivariable-adjusted model adjusting for age, sex, ethnicity, Townsend deprivation in dex, body mass index, systolic blood pressure, smoking status, alcohol status, diabetes status, spherical equivalent, and height.

[chu_idx=591]
yb Coefﬁcient represents intraocular pressure difference using multivariable-adjusted model adjusting for age, sex, ethnicity, Townsend deprivation in dex, body mass index, systolic blood pressure, smoking status, alcohol status, diabetes status, spherical equivalent, height, and season.",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,18231d46d5944f509beea4500d588dc4,Exercise,Retinal Ganglion Cell Death,"[chu_idx=911]
Aerobic exercise delays retinal ganglion cell death after optic nerve injury.",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,c3ede9a446d54dc19fa7ade9fb18c1a7,Exercise,Optic Nerve Perfusion,"[chu_idx=922]
Short-term effects of exercise on optic nerve and macular perfusion measured by optical coherence tomography angiography.",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,aaff29ce603b4205954ae9a83774e7d8,Genetic Factors,Smoking Behavior,"[chu_idx=1161]
Novel insights into the genetics of smoking behaviour, lung function, and chronic obstructive pulmonary disease (UK BiLEVE): a genetic association study in UK Biobank.",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,824732a2fa2b43bf8ee7fcbfa8e60c56,physical activity,Disease Prevention,"[chu_idx=1176]
Genome-wide association analyses of physical activity and sedentary behavior provide insights into underlying mechanisms and roles in disease prevention.",NA
3,observational study,10.1016/j.nedt.2024.106258,3,1-s2.0-S0260691724001680-main.pdf,95482cf8bb68fb0973c959300e88787615561f2824a6f434f0bfc9ce7f94372d,717046c2e5f84e5bba860ae7aa00cd6e,resilience,depressive symptoms,"[chu_idx=294]
Path d shows that resilience was negatively associated with depression and anxiety ( p < .001).

[chu_idx=543]
Finally, resilience, associated with depression, was a mediating factor in the relationship between academic stress and psychological well-being.",NA
3,observational study,10.1016/j.nedt.2024.106258,3,1-s2.0-S0260691724001680-main.pdf,95482cf8bb68fb0973c959300e88787615561f2824a6f434f0bfc9ce7f94372d,de936f50dbee407183880ada33e53ccc,coping skills,psychological well-being,"[chu_idx=542]
Finally, regardless of year group, the most important predictors of aca demic stress were clinical stress and anxiety, while academic stress, depression, and coping skills were the most significant predictors of psychological well-being.",NA
