row,article_type_filter,doi,rank,filename,doc_sha256,edge_id,var1,var2,evidence,label
1,observational study,10.1097/CM9.0000000000002753,1,hypertension_and_nafld_risk__insights_from_the.9.pdf,fa4c05e72b5636dfdace2061fdff8abe059895b9b0b8f13e70c41b44b699205e,9f9174feee3d46da8b9a2065619046be,NAFLD,obesity,"[chu_idx=138]
However ,  hypertension and NAFLD often co-exist in the same individual in a complex two-way relationship as they share common metabolic risk factors ,  such as age , obesity ,  and IR .",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,6ad6962fad7c4d2191cfd71f7076d395,vigorous_physical_activity,optic_nerve_protection,"[chu_idx=64]
Animal studies have shown that intense exercise may protect the optic nerve from injury caused by elevated IOP and may attenuate retinal in ﬂammatory responses.20,21 High levels of intense exercise in rats were associated with an increased ability to withstand retinal ganglion cell (RGC) death after acute elevations in IOP, 20 and rats with axotomized optic nerves placed in a forced PA group showed greater RGC survival rates than rats that were not subjected to high levels of activity.",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,a51d517f44e041e181f520fecc5e4a80,moderate_to_vigorous_physical_activity,glaucoma_outcome,"[chu_idx=246]
We conducted 2-sample MR analyses to test for a causal association between 2 genetically determined PA phenotypes and 5 glaucoma-related outcomes.",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,3a85e9cba78847008f0892c31dda06cc,light_physical_activity_time,mGCIPL_thickness,"[chu_idx=290]
Compared with participants in the lowest quartiles, those in the highest quartile of self-reported time spent in each of light, moderate, and vigorous PA showed thicker mGCIPL by þ0.03 mm (95% CI, 0.05 e0.36 mm; P ¼ 0.009), þ0.18 mm (95% CI, 0.03 e0.32 mm; P ¼ 0.018), and þ0.18 mm (95% CI, 0.04 e0.31; P ¼ 0.012), respectively.",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,34b258d0746d46e5a0562caa181a7769,physical_activity,visual_field_loss,"[chu_idx=996]
Greater physical activity is associated with slower visual ﬁeld loss in glaucoma.",NA
3,observational study,10.1016/j.nedt.2024.106258,3,1-s2.0-S0260691724001680-main.pdf,95482cf8bb68fb0973c959300e88787615561f2824a6f434f0bfc9ce7f94372d,3c7bee1df6e041718654f97816bbe0a1,academic stress,stress,"[chu_idx=272]
Tak ing academic stress as the reference, the most significant results were as follows: academic stress presented a significant and direct association with clinical stress, emotion-focused coping, and depression and anxiety symptoms (all p s < .01).

[chu_idx=341]
Academic stress – 2.

[chu_idx=357]
Clinical stress 0.48 ** – 3.

[chu_idx=542]
Finally, regardless of year group, the most important predictors of aca demic stress were clinical stress and anxiety, while academic stress, depression, and coping skills were the most significant predictors of psychological well-being.",NA
3,observational study,10.1016/j.nedt.2024.106258,3,1-s2.0-S0260691724001680-main.pdf,95482cf8bb68fb0973c959300e88787615561f2824a6f434f0bfc9ce7f94372d,31dba46ee9614682b5cdbbc52ebf41ce,academic stress,depression,"[chu_idx=291]
Nurse Education Today 139 (2024) 106258 4 regression step (path a), academic stress was positively associated with depression and anxiety, and negatively with resilience ( p < .001).

[chu_idx=542]
Finally, regardless of year group, the most important predictors of aca demic stress were clinical stress and anxiety, while academic stress, depression, and coping skills were the most significant predictors of psychological well-being.

[chu_idx=543]
Finally, resilience, associated with depression, was a mediating factor in the relationship between academic stress and psychological well-being.",NA
3,observational study,10.1016/j.nedt.2024.106258,3,1-s2.0-S0260691724001680-main.pdf,95482cf8bb68fb0973c959300e88787615561f2824a6f434f0bfc9ce7f94372d,b986655797694478abe77c074a4f3f6a,depression,psychological well-being,"[chu_idx=292]
In the next step regression step (path b), depression and anxiety were negatively associated with psychological well-being ( p < .001) and ( p <

[chu_idx=542]
Finally, regardless of year group, the most important predictors of aca demic stress were clinical stress and anxiety, while academic stress, depression, and coping skills were the most significant predictors of psychological well-being.",NA
3,observational study,10.1016/j.nedt.2024.106258,3,1-s2.0-S0260691724001680-main.pdf,95482cf8bb68fb0973c959300e88787615561f2824a6f434f0bfc9ce7f94372d,b7c4e68a11e847d49916d752d1c0210d,resilience,anxiety,"[chu_idx=294]
Path d shows that resilience was negatively associated with depression and anxiety ( p < .001).",NA
3,observational study,10.1016/j.nedt.2024.106258,3,1-s2.0-S0260691724001680-main.pdf,95482cf8bb68fb0973c959300e88787615561f2824a6f434f0bfc9ce7f94372d,a9a49e577dc840afae068de8bfd612f6,academic stress,anxiety,"[chu_idx=361]
Anxiety symptoms 0.48 ** 0.24 ** 0.01 0.28 ** 0.73 ** – 7.",NA
