row,article_type_filter,doi,rank,filename,doc_sha256,edge_id,var1,var2,evidence,label
1,randomized controlled trial,10.1056/NEJMoa2405888,1,NEJMoa2405888.pdf,8a231b7571bc2716948f042e17bc19419b2d73582b96e246275dfeb8f385d405,e4d51a7525634cbc8683a6f7a4e0f558,Bone pain,Alkaline phosphatase increased,"[chu_idx=594]
Bone pain 40 (8) 96 (20)

[chu_idx=595]
Alkaline phosphatase increased 54 (11) 81 (17)",NA
2,randomized controlled trial,10.1136/bjsports-2020-103403,2,501.full.pdf,c3ce1fb927c5c97a7df62f62aba50cf5bd548fc2253ffaefaa3f803bdd8e23b2,dc94f404b09e420eb13735816a811544,patient satisfaction,PTLE group,"[chu_idx=72]
No significant betweengroup difference w as found for subjective patient satisfaction (81% vs 83%, p=0.54) and exercise adherence between the PTLE group and EET group after 24 weeks (40% vs 49%, p=0.33).

[chu_idx=90]
No significant betweengroup difference w as found for subjective patient satisfaction (81% vs 83%, p=0.54) and exercise adherence between the PTLE group and EET group after 24 weeks (40% vs 49%, p=0.33).",NA
2,randomized controlled trial,10.1136/bjsports-2020-103403,2,501.full.pdf,c3ce1fb927c5c97a7df62f62aba50cf5bd548fc2253ffaefaa3f803bdd8e23b2,1df3d38ed1164a57be0c264f0971c2f6,age,sex,"[chu_idx=696]
These scores and the adjusted mean betweengroup differences were calculated using Generalised Estimating Equations with adjustments for the following predefined baseline v ariables: age, sex, BMI, symptom duration and Cincinnati Sports Activity Scale.",NA
2,randomized controlled trial,10.1136/bjsports-2020-103403,2,501.full.pdf,c3ce1fb927c5c97a7df62f62aba50cf5bd548fc2253ffaefaa3f803bdd8e23b2,5fae1498f4a14761aa1134a9af8b4e52,sex,BMI,"[chu_idx=696]
These scores and the adjusted mean betweengroup differences were calculated using Generalised Estimating Equations with adjustments for the following predefined baseline v ariables: age, sex, BMI, symptom duration and Cincinnati Sports Activity Scale.",NA
2,randomized controlled trial,10.1136/bjsports-2020-103403,2,501.full.pdf,c3ce1fb927c5c97a7df62f62aba50cf5bd548fc2253ffaefaa3f803bdd8e23b2,13771d0639824d85bb288b1cff0470b0,EET group,patient satisfaction,"[chu_idx=820]
ive patient satisfaction (81% vs 83%, p=0.54) and exercise adherence (40% vs 49%, p=0.33) between the PTLE group and EET group after 24 weeks.",NA
3,randomized controlled trial,10.1001/jamapediatrics.2021.5547,3,jamapediatrics_williams_2022_oi_210080_1646329686.28064.pdf,ca304b988918a5feb579f321d49fbab5d2eb51e6941e7ad8811ae3322b4ac3fe,4909e5219c9a41c6b5b53a39563fe6b0,treatment duration,antibiotic-associated adverse effects,"[chu_idx=49]
However,thesestudieswere designedasnoninferiorityefficacytrialsanddidnotcomprehensivelyconsiderpotentialantibiotic-associatedadverseeffects,animportantpatient-centeredoutcomethatimpactspatientexperience,treatmentadherence,andefficacy.Noneof theaforementionedstudiesexaminedpotentialassociations betweentreatmentdurationanditsimpactonthereservoirof antibiotic resistance genes in the respiratory tract microbiome(ie,theresistome).

[chu_idx=90]
Downloaded from jamanetwork.com by National Yang Ming University Library user on 01/21/2026 the presence and severity of antibiotic-associated adverse effects(Figure1;eMethodsin Supplement2 ).Next,usingactualreportedtreatmentduration(nottreatmentassignment) foreachparticipant,werankedtheparticipants’overallexperiences according to the following criteria: (1) when comparing2participantswithdifferentDOORranks,theparticipant with a more desirable DOOR received a higher (more desirable)rankand(2)whencomparingtheoveralloutcomesof2 participants with identical DOOR ranks, the participant with fewerreportedtotaldaysofantibioticreceivedahigherrank.",NA
5,randomized controlled trial,10.1056/NEJMoa2102383,5,NEJMoa2102383.pdf,5386174a842adc587038870e0476c2bfe17b7de9a7d24f174116a9d8477a8f84,44632f55ecd247af9cf1d22b6f6ca2ad,bimekizumab,ustekinumab,"[chu_idx=68]
BE SURE10 trials, bimekizumab led to greater clinical improvements in patients with moder ate-to-severe plaque psoriasis than placebo, than the interleukin-12/23 inhibitor ustekinumab, and than the tumor necrosis factor inhibitor adali mumab but was associated with a greater inci dence of oral candidiasis.",NA
5,randomized controlled trial,10.1056/NEJMoa2102383,5,NEJMoa2102383.pdf,5386174a842adc587038870e0476c2bfe17b7de9a7d24f174116a9d8477a8f84,2212d3c275d3437080be44566894dfa7,bimekizumab,PASI 100,"[chu_idx=246]
At week 16, a total of 230 patients (61.7%) who received bimekizumab, as compared with 181 patients (48.9%) who received secukinumab, had

[chu_idx=259]
At week 4, after one dose of bimekizumab, 265 patients (71.0%) in that group, as compared with 175 patients (47.3%) in the secukinumab group, had a PASI 75 response (adjusted risk difference, 23.7 percentage points; 95% CI, 17.0 to 30.4; P<0.001) (Table 2).

[chu_idx=260]
At week 48, a total of 250 patients (67.0%) who received bimekizumab as compared with 171 (46.2%) who received secukinumab had a PASI 100 response (adjusted risk difference, 20.9 percentage points; 95% CI, 14.1 to 27.7; P<0.001) (Fig.

[chu_idx=271]
In the maintenance population at week 48, a total of 108 patients (73.5%) who continued to receive bimekizumab every 4 weeks and 142 (66.0%) who transitioned to receive bimekizumab every 8 weeks, as compared with 171 (48.3%) who continued to receive secukinumab after week 16, had a PASI 100 response (adjusted risk differ ence, bimekizumab every 4 weeks vs.",NA
5,randomized controlled trial,10.1056/NEJMoa2102383,5,NEJMoa2102383.pdf,5386174a842adc587038870e0476c2bfe17b7de9a7d24f174116a9d8477a8f84,25a10875420a46db8bf5b4835da5bd51,bimekizumab,IGA score,"[chu_idx=278]
Furthermore, at week 16, a total of 319 patients (85.5%) in the bimekizumab group as compared with 291 (78.6%) in the secukinumab group had an IGA score of 0 or 1 (adjusted risk difference, 7.0 percentage points; 95% CI, 1.6 to 12.4), and 348 patients (93.3%) in the bimekizumab group as compared with 337 (91.1%) in the secukinumab group had a PASI 75 response (adjusted risk difference, 2.3 percentage points; 95% CI, −1.5 to 6.1) (Fig.",NA
5,randomized controlled trial,10.1056/NEJMoa2102383,5,NEJMoa2102383.pdf,5386174a842adc587038870e0476c2bfe17b7de9a7d24f174116a9d8477a8f84,2d5dff6a148f4838826b1f3e9f5fab56,secukinumab,IGA score,"[chu_idx=278]
Furthermore, at week 16, a total of 319 patients (85.5%) in the bimekizumab group as compared with 291 (78.6%) in the secukinumab group had an IGA score of 0 or 1 (adjusted risk difference, 7.0 percentage points; 95% CI, 1.6 to 12.4), and 348 patients (93.3%) in the bimekizumab group as compared with 337 (91.1%) in the secukinumab group had a PASI 75 response (adjusted risk difference, 2.3 percentage points; 95% CI, −1.5 to 6.1) (Fig.",NA
