row,article_type_filter,doi,rank,filename,doc_sha256,edge_id,var1,var2,evidence,label
1,observational study,10.1097/CM9.0000000000002753,1,hypertension_and_nafld_risk__insights_from_the.9.pdf,fa4c05e72b5636dfdace2061fdff8abe059895b9b0b8f13e70c41b44b699205e,29f4ba78432f41e68e39980272d6b873,obesity,hypertension,"[chu_idx=138]
However ,  hypertension and NAFLD often co-exist in the same individual in a complex two-way relationship as they share common metabolic risk factors ,  such as age , obesity ,  and IR .",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,d9907e84934041a797322c7190cf13d6,habitual physical activity,intraocular pressure,"[chu_idx=63]
17 Although many small and experimental studies have identi ﬁed shortterm associations with PA, fewer studies have examined the association of habitual PA with IOP, and the results are inconsistent.18,19",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,67318606455040be9e70461151de2946,total IPAQ PA,mGCIPL thickness,"[chu_idx=288]
These associations were maintained when examining the difference in mGCIPL thickness across quartiles of time spent in

[chu_idx=289]
IPAQ PA levels ( Fig 2 AeF).

[chu_idx=291]
A similar positive association was identi ﬁed between increasing quartile of time spent in total PA and thicker mGCIPL: participants in the second highest and highest quartile (i.e., quartiles 3 and 4) showed thicker mGCIPL by þ0.18 mm( P ¼ 0.016) and þ0.16 mm

[chu_idx=292]
Madjedi et al /C15 Physical Activity and Glaucoma 1027 (P ¼ 0.029), respectively, compared with those in the lowest quartile, with a signi ﬁcant trend ( P ¼ 0.005 for trend).",NA
2,observational study,10.1016/j.ophtha.2023.06.009,2,1-s2.0-S016164202300427X-main.pdf,8bc28b5366c81d872f075c88c2bb59efd0c1273da893b165ff95a14f4379d0e3,0021b9347cc1413daa8e6ddacaa7dcc8,physical activity,glaucoma status,"[chu_idx=308]
Physical Activity with Intraocular Pressure, OCT

[chu_idx=309]
Parameters, and Glaucoma Status

[chu_idx=324]
No evidence was found for effect modi ﬁcation of the multitrait analysis of a GWAS PRS on the associations between physical activity and glaucoma status ( P ¼ 0.07 for interaction), mRNFL thickness ( P ¼ 0.34 for interaction), mGCIPL thickness (P ¼ 0.87 for interaction), and IOP ( P ¼ 0.57 for interaction).",NA
3,observational study,10.1016/j.nedt.2024.106258,3,1-s2.0-S0260691724001680-main.pdf,95482cf8bb68fb0973c959300e88787615561f2824a6f434f0bfc9ce7f94372d,817004d6f5104dbd900f1ff1e85fc2f2,academic stress,anxiety symptoms,"[chu_idx=278]
For the overall study sample, hierarchical regression models on ac ademic stress were estimated with year of study, clinical stress, problemfocused coping, emotion-focused coping, depression symptoms, anxiety symptoms, and resilience ( Table 3 ).

[chu_idx=279]
The regression model showed 40 % explained variance, with year of study, clinical stress, and anxiety symptoms as main academic stress predictors.

[chu_idx=361]
Anxiety symptoms 0.48 ** 0.24 ** 0.01 0.28 ** 0.73 ** – 7.",NA
3,observational study,10.1016/j.nedt.2024.106258,3,1-s2.0-S0260691724001680-main.pdf,95482cf8bb68fb0973c959300e88787615561f2824a6f434f0bfc9ce7f94372d,2e95dbcb45814905bca95922c8c5dd1f,psychological well-being,emotion-focused coping,"[chu_idx=282]
Linear regression models were implemented with academic stress, clinical stress, depression, anxiety, resilience, problem coping and emotional coping as predictors of psychological well-being ( Table 4 ).

[chu_idx=283]
The regression model showed 42 % explained variance, with academic stress, depression, resilience and both types of coping skills being the main psychological well-being predictors.",NA
3,observational study,10.1016/j.nedt.2024.106258,3,1-s2.0-S0260691724001680-main.pdf,95482cf8bb68fb0973c959300e88787615561f2824a6f434f0bfc9ce7f94372d,21cd6d7b95634109bdf344a79530261f,problem-focused coping,emotion-focused coping,"[chu_idx=359]
Emotion-focused coping 0.26 ** 0.16 ** ",NA
3,observational study,10.1016/j.nedt.2024.106258,3,1-s2.0-S0260691724001680-main.pdf,95482cf8bb68fb0973c959300e88787615561f2824a6f434f0bfc9ce7f94372d,3cececd210d641ab84a34264b49f7a37,clinical stress,depressive symptoms,"[chu_idx=360]
Depressive symptoms 0.41 ** 0.13 * ",NA
3,observational study,10.1016/j.nedt.2024.106258,3,1-s2.0-S0260691724001680-main.pdf,95482cf8bb68fb0973c959300e88787615561f2824a6f434f0bfc9ce7f94372d,c33dab967bf7453cbc04b86b58e43c62,emotion-focused coping,anxiety symptoms,"[chu_idx=361]
Anxiety symptoms 0.48 ** 0.24 ** 0.01 0.28 ** 0.73 ** – 7.",NA
3,observational study,10.1016/j.nedt.2024.106258,3,1-s2.0-S0260691724001680-main.pdf,95482cf8bb68fb0973c959300e88787615561f2824a6f434f0bfc9ce7f94372d,b5712db981ad4cdfbb8270c84b9db80c,academic stress,psychological well-being,"[chu_idx=553]
Finally, academic stress levels were higher than clinical stress in both groups, with the former being the main predictor of poor psychological wellbeing",NA
4,observational study,10.1001/jamanetworkopen.2023.52302,4,cook_2024_oi_231530_1704835806.04872.pdf,da50393b29d84a8f54f9f93c84184005452c2e01fc3fcf87ccba70aa44d2d07c,2dcec505e9db4709af7726b384387b3b,irAE occurrence,lung metastases,"[chu_idx=258]
P valuebWithout irAEs (n = 506) With irAEs (n = 297)

[chu_idx=262]
Metastatic sited

[chu_idx=263]
Lung 320/504 (63.5) 130/296 (43.9) .04",NA
4,observational study,10.1001/jamanetworkopen.2023.52302,4,cook_2024_oi_231530_1704835806.04872.pdf,da50393b29d84a8f54f9f93c84184005452c2e01fc3fcf87ccba70aa44d2d07c,ea09cb7f301b490b85be2b39719a4de6,immune-related adverse events,clinical outcomes,"[chu_idx=651]
CortelliniA,FriedlaenderA,BannaGL,etal.Immune-relatedadverseeventsofpembrolizumabinalargerealworldcohortofpatientswithNSCLCwithaPD-L1expression /H1135050%andtheirrelationshipwithclinicaloutcomes.",NA
4,observational study,10.1001/jamanetworkopen.2023.52302,4,cook_2024_oi_231530_1704835806.04872.pdf,da50393b29d84a8f54f9f93c84184005452c2e01fc3fcf87ccba70aa44d2d07c,d3df86ccad284ac7a1b0c837a12f6ed4,immune-related adverse events,PD-1/PD-L1 inhibitor efficacy,"[chu_idx=784]
ZhangQ,WangW,YuanQ,etal.Correlationbetweenimmune-relatedadverseeventsandtheefficacyofPD-1/

[chu_idx=785]
PD-L1inhibitorsinthetreatmentofnon–smallcelllungcancer:systematicreviewandmeta-analysis.",NA
5,observational study,10.1186/s13054-023-04763-5,5,s13054-023-04763-5.pdf,ca8f5fb97f667c7a2f1e48f535ef832f5d0727af91c033358eec07cb8c0c80fb,aa14c6060af14f05b74c1d17f377723f,rheumatoid arthritis,sepsis,"[chu_idx=334]
After mul tivariable adjustment, we found that RA (OR = 1.091, 95% CI = 1.061–1.123, p = 1.66E-09) continues to exhibit a causal association with sepsis by adjusting for SLE (Fig.

[chu_idx=348]
After mul tivariable adjustment, we found that RA (OR = 1.091, 95% CI = 1.061–1.123, p = 1.66E-09) continues to exhibit a causal association with sepsis by adjusting for SLE (Fig.",NA
7,observational study,10.1001/jamanetworkopen.2023.52314,8,tingsgrd_2024_oi_231531_1705094530.5946.pdf,5d9910c19281766d0aef3f551c241c342f4152adebe169eff127001fbee234d0,30b8b4343ff64c6193f9444cea1ba7af,time-varying factors,adherence,"[chu_idx=131]
Same as the target trial; baseline and time-varying factors associated with adherence were adjusted for using the approach as in the intention-to-treat analysis i",NA
8,observational study,10.1097/JS9.0000000000002658,9,causal_relationship_between_basal_metabolic_rate.25.pdf,ebd63041c17fe9eb8aa04cf438f9e677c483181e6644bd5ffedc11f046634880,ca5e1dc7fe034bde91b9118345a4edea,basal metabolic rate,sarcopenic obesity,"[chu_idx=1161]
Predictive roles of basal metabolic rate and body water distribution in sarcopenia and sarcopenic obesity: the link to",NA
9,observational study,10.1007/s00198-023-06996-0,10,s00198-023-06996-0.pdf,c938f032d766847f0e90fb35ba2cb1d04a422f7e47a50510c9b14d6f3f400835,bfb87d1634da4899ab2c1faf7eab6cdc,reduced heel BMD,current drinking,"[chu_idx=183]
Furthermore, there were more current smokers and fewer current drinkers in the reduced heel BMD group, while participants with reduced heel BMD had significantly lower",NA
9,observational study,10.1007/s00198-023-06996-0,10,s00198-023-06996-0.pdf,c938f032d766847f0e90fb35ba2cb1d04a422f7e47a50510c9b14d6f3f400835,6cf20ebd5a2e42479468f90f8c1833ab,reduced heel BMD,triglycerides,"[chu_idx=184]
BMI, waist circumference (WC), and FLI and significantly higher levels of glycated hemoglobin (HBA1c), plasma high–density lipoprotein cholesterol (HDL-C), low-density lipoprotein-cholesterol (LDL-C), and total cholesterol (CHO) compared to those in the normal heel BMD group; triglycerides (TG) and gamma-glutamyl transferase (GGT) were lower.",NA
10,observational study,10.1186/s12933-021-01393-5,12,s12933-021-01393-5.pdf,85de83072b4a810720ca6be37b6939c8ae4b010486d5882b2ba7962ae30388a1,b7e1a443fc25414da983976ae153f4b2,atherogenic index of plasma,arterial stiffness,"[chu_idx=75]
Recently, AIP was reported as a novel independent prognostic biomarker of coronary artery disease [11–15] and arterial stiffness [16] beyond traditional risk factors.

[chu_idx=765]
Atherogenic index of plasma is related to arterial stiffness but not to blood pressure in normotensive and nevertreated hypertensive subjects.",NA
10,observational study,10.1186/s12933-021-01393-5,12,s12933-021-01393-5.pdf,85de83072b4a810720ca6be37b6939c8ae4b010486d5882b2ba7962ae30388a1,8d8c926ba08449059abc329943776640,major adverse cardiovascular events,incidence of cardiovascular events,"[chu_idx=285]
Patients with MACEs also had significantly larger body weight, higher blood pressure, longer duration of diabe tes, and higher incidence of cardiovascular events and congestive heart failure.

[chu_idx=297]
Patients with MACEs also had significantly larger body weight, higher blood pressure, longer duration of diabe tes, and higher incidence of cardiovascular events and congestive heart failure.",NA
