row,article_type_filter,doi,rank,filename,doc_sha256,edge_id,var1,var2,evidence,label
1,randomized controlled trial,10.1056/NEJMoa2405888,1,NEJMoa2405888.pdf,8a231b7571bc2716948f042e17bc19419b2d73582b96e246275dfeb8f385d405,1d94469eb60c43dab5ebe6d5c801cee5,N+AVD,progression_free_survival,"[chu_idx=303]
At the prespecified second interim analysis (50% information fraction), the efficacy threshold for the interim analysis was crossed: N+AVD sig nificantly improved progression-free survival as compared with BV+AVD (hazard ratio for disease progression or death, 0.48; 99% confidence in terval [CI], 0.27 to 0.87; two-sided P = 0.001).

[chu_idx=304]
The median follow-up at the primary analysis time point was 12.1 months (range, 0 to 38.6), with disease progression or death occurring in 30 patients in the N+AVD group, as compared with 58 patients in the BV+AVD group.",NA
1,randomized controlled trial,10.1056/NEJMoa2405888,1,NEJMoa2405888.pdf,8a231b7571bc2716948f042e17bc19419b2d73582b96e246275dfeb8f385d405,a7de816a4590435ca914f9586bee8f06,age,infectious_complications,"[chu_idx=413]
Occurrences of febrile neutropenia, sepsis, and infection and infestation were similar in the groups, but these events occurred more frequent in older patients (in 18% of those aged 12 to 17 years, 20% of those aged 18 to 60 years; and 33% of those aged >60 years), especially among the patients who received BV+AVD.",NA
2,randomized controlled trial,10.1136/bjsports-2020-103403,2,501.full.pdf,c3ce1fb927c5c97a7df62f62aba50cf5bd548fc2253ffaefaa3f803bdd8e23b2,dda3d73cda674383a7c9d1768d527f50,age,adjusted mean between-group difference,"[chu_idx=696]
These scores and the adjusted mean betweengroup differences were calculated using Generalised Estimating Equations with adjustments for the following predefined baseline v ariables: age, sex, BMI, symptom duration and Cincinnati Sports Activity Scale.",NA
2,randomized controlled trial,10.1136/bjsports-2020-103403,2,501.full.pdf,c3ce1fb927c5c97a7df62f62aba50cf5bd548fc2253ffaefaa3f803bdd8e23b2,508cf307c41c4e7d864b7cdc73c3badd,Cincinnati Sports Activity Scale,adjusted mean between-group difference,"[chu_idx=696]
These scores and the adjusted mean betweengroup differences were calculated using Generalised Estimating Equations with adjustments for the following predefined baseline v ariables: age, sex, BMI, symptom duration and Cincinnati Sports Activity Scale.",NA
2,randomized controlled trial,10.1136/bjsports-2020-103403,2,501.full.pdf,c3ce1fb927c5c97a7df62f62aba50cf5bd548fc2253ffaefaa3f803bdd8e23b2,38c02a09af674d1da6e64dad7885c55a,patellar tendon stiffness,patellar tendinopathy,"[chu_idx=1151]
The association between Patellar tendon stiffness measured with shearw ave elastography and Patellar tendinopathya case-",NA
3,randomized controlled trial,10.1001/jamapediatrics.2021.5547,3,jamapediatrics_williams_2022_oi_210080_1646329686.28064.pdf,ca304b988918a5feb579f321d49fbab5d2eb51e6941e7ad8811ae3322b4ac3fe,db4921c9025144f4bd078a4d9f46cbcb,shortened_antibiotic_approach,antibiotic_adverse_effects,"[chu_idx=396]
toa10-daystrategy.Theshortenedapproachachievedsimilar clinical response, resolution of symptoms, and antibioticassociatedadverseeffectswithfewerdaysofantibiotictherapy.",NA
5,randomized controlled trial,10.1056/NEJMoa2102383,5,NEJMoa2102383.pdf,5386174a842adc587038870e0476c2bfe17b7de9a7d24f174116a9d8477a8f84,f415e0a215ba4aa984998a3781accf52,bimekizumab,PASI 75 response,"[chu_idx=268]
At week 4, after one dose of bimekizumab, 265 patients (71.0%) in that group, as compared with 175 patients (47.3%) in the secukinumab group, had a PASI 75 response (adjusted risk difference, 23.7 percentage points; 95% CI, 17.0 to 30.4; P<0.001) (Table 2).",NA
5,randomized controlled trial,10.1056/NEJMoa2102383,5,NEJMoa2102383.pdf,5386174a842adc587038870e0476c2bfe17b7de9a7d24f174116a9d8477a8f84,ed8df5892d7242b4844c8b042479f412,secukinumab,PASI 90 response at week 16,"[chu_idx=275]
By week 16, a total of 319 patients (85.5%) receiving bimekizumab, as compared with 275 patients (74.3%) receiving secukinumab, had a

[chu_idx=276]
PASI 90 response (adjusted risk difference, 11.3 percentage points; 95% CI, 5.8 to 16.8) (Fig.",NA
5,randomized controlled trial,10.1056/NEJMoa2102383,5,NEJMoa2102383.pdf,5386174a842adc587038870e0476c2bfe17b7de9a7d24f174116a9d8477a8f84,a502ec40abbd4bbe84aa0b0fb020a99a,IL-17A and IL-17F inhibition,treatment response,"[chu_idx=486]
The  new england journal of  medicine affinity for interleukin-17A than secukinumab in vitro8; however, in affinity-matched interleukin- 17A and interleukin-17F human functional as says, the inhibition of both interleukin-17A and interleukin-17F showed a greater response than the inhibition of interleukin-17A alone.",NA
5,randomized controlled trial,10.1056/NEJMoa2102383,5,NEJMoa2102383.pdf,5386174a842adc587038870e0476c2bfe17b7de9a7d24f174116a9d8477a8f84,8a91a7c37e6b4f08b8c491ac5fc7fb4b,bimekizumab,oral candidiasis,"[chu_idx=490]
Oral and oropharyngeal candidiasis occurred more frequently with bimekizumab than with secukinumab, a finding consistent with the contributions of interleukin-17A and interleukin-17F to host protection against candida infections at the oral mucosa18,19 and with observations from previous studies of bimekizumab.7,9,10,15,16 New diagnoses of inflammatory bowel disease have been reported with interleukin-17A inhibitors,7,9,20,21 and across the BE READY, BE VIVID, and BE SURE phase 3 trials, one case of ulcerative colitis was reported with bimekizumab.

[chu_idx=504]
Oral and oropharyngeal candidiasis occurred more frequently with bimekizumab than with secukinumab, a finding consistent with the contributions of interleukin-17A and interleukin-17F to host protection against candida infections at the oral mucosa18,19 and with observations from previous studies of bimekizumab.7,9,10,15,16 New diagnoses of inflammatory bowel disease have been reported with interleukin-17A inhibitors,7,9,20,21 and across the BE READY, BE VIVID, and BE SURE phase 3 trials, one case of ulcerative colitis was reported with bimekizumab.",NA
