row,article_type_filter,doi,rank,filename,doc_sha256,edge_id,var1,var2,evidence,label
1,randomized controlled trial,10.1056/NEJMoa2405888,1,NEJMoa2405888.pdf,8a231b7571bc2716948f042e17bc19419b2d73582b96e246275dfeb8f385d405,4804fbb9659948169b6f85add1880f45,Number of deaths,Age group,"[chu_idx=332]
Table S5, and the number of deaths according to age group are listed in Table S6.

[chu_idx=362]
Table S5, and the number of deaths according to age group are listed in Table S6.",NA
2,randomized controlled trial,10.1136/bjsports-2020-103403,2,501.full.pdf,c3ce1fb927c5c97a7df62f62aba50cf5bd548fc2253ffaefaa3f803bdd8e23b2,234e1ac91be747fa805d79e6d52489e2,pre-intervention symptom duration,return to sports,"[chu_idx=343]
23 The influence of symptom duration prior to intervention on the dichotomised return to sports and subjective patient satisfaction was investigated using adjusted binary logistic regression analysis.",NA
2,randomized controlled trial,10.1136/bjsports-2020-103403,2,501.full.pdf,c3ce1fb927c5c97a7df62f62aba50cf5bd548fc2253ffaefaa3f803bdd8e23b2,02825c40ac25490296b2f44b04c94cf7,treatment group,ultrasound-assessed inferior patellar erosions,"[chu_idx=390]
group differences in baseline characteristics, except for a longer symptom duration in the intervention group (119 vs 78 weeks) and more ultrasoundassessed erosions of the inferior patellar border (45% vs 18%) in the intervention group (table 1",NA
2,randomized controlled trial,10.1136/bjsports-2020-103403,2,501.full.pdf,c3ce1fb927c5c97a7df62f62aba50cf5bd548fc2253ffaefaa3f803bdd8e23b2,a4f41f7ec1d847f39ac4490bec281dc4,treatment group,return to sports rate,"[chu_idx=717]
Additional benefits of PTLE were that there was a trend towards a higher return to sports rate compared with EET (43% vs 27%) and that the exercises were significantly less painful to perform (VAS 2 vs 4).",NA
3,randomized controlled trial,10.1001/jamapediatrics.2021.5547,3,jamapediatrics_williams_2022_oi_210080_1646329686.28064.pdf,ca304b988918a5feb579f321d49fbab5d2eb51e6941e7ad8811ae3322b4ac3fe,a09c02d204a649c5a1c0acef4f2cc184,treatment duration,antibiotic resistance gene reservoir (respiratory tract),"[chu_idx=49]
However,thesestudieswere designedasnoninferiorityefficacytrialsanddidnotcomprehensivelyconsiderpotentialantibiotic-associatedadverseeffects,animportantpatient-centeredoutcomethatimpactspatientexperience,treatmentadherence,andefficacy.Noneof theaforementionedstudiesexaminedpotentialassociations betweentreatmentdurationanditsimpactonthereservoirof antibiotic resistance genes in the respiratory tract microbiome(ie,theresistome).",NA
4,randomized controlled trial,10.1016/j.vaccine.2022.08.036,4,1-s2.0-S0264410X22010283-main.pdf,79591d055f1066325726c99845bf1ed4a9383d3bdf6104e4997ac4e214bab758,d8e5652b4cd347d1883b2387663b52d0,mRNA COVID-19 vaccine,Thrombosis,"[chu_idx=384]
EudraVigilance comparing the disproportionality of adverse event reports between the inﬂuenza vaccine versus the mRNA COVID- 19 vaccines reported excess risks for the following Brighton AESIs: cardiovascular events, coagulation events, hemorrhages, gastrointestinal events, and thromboses.",NA
4,randomized controlled trial,10.1016/j.vaccine.2022.08.036,4,1-s2.0-S0264410X22010283-main.pdf,79591d055f1066325726c99845bf1ed4a9383d3bdf6104e4997ac4e214bab758,b8ee2ca46ae54a71ac7e4977fd04ff3c,Hemorrhagic stroke,Pfizer vaccine,"[chu_idx=386]
[25] Among self-controlled case series, one reported a rate ratio of 1.38 (95 % CI 1.12–1.71) for hemorrhagic stroke following Pﬁzer vaccine, [26] another reported 0.97 (95 %",NA
4,randomized controlled trial,10.1016/j.vaccine.2022.08.036,4,1-s2.0-S0264410X22010283-main.pdf,79591d055f1066325726c99845bf1ed4a9383d3bdf6104e4997ac4e214bab758,bc26068281bb4b30a2e2f9101e2c3d32,Acute liver injury,COVID-19,"[chu_idx=448]
Seen with COVID-19

[chu_idx=450]
Acute liver injury 1 0 0.7 0.0 0.7 N/A",NA
4,randomized controlled trial,10.1016/j.vaccine.2022.08.036,4,1-s2.0-S0264410X22010283-main.pdf,79591d055f1066325726c99845bf1ed4a9383d3bdf6104e4997ac4e214bab758,86bb17d0141244989792f942b14519ec,Serious AESI,COVID-19 hospitalization,"[chu_idx=509]
As a rough sensitivity calculation, if we divide the Pﬁzer excess serious AESI risk of 10.1 by 1.20 it becomes 8.4 compared to a COVID-19 hospitalization risk reduction of 2.3; if we divide the Moderna excess serious AESI risk of 15.1 by 1.34 it becomes 11.3 compared to a COVID-19 hospitalization risk reduction of 6.4.",NA
4,randomized controlled trial,10.1016/j.vaccine.2022.08.036,4,1-s2.0-S0264410X22010283-main.pdf,79591d055f1066325726c99845bf1ed4a9383d3bdf6104e4997ac4e214bab758,580d3b6047514e21963e7ddf87c97d59,Harm-benefit ratio,Serious COVID-19,"[chu_idx=510]
Harm-beneﬁt ratios will be different for populations at different risk for serious COVID-19 and observation periods that differ from those studied in the trials.",NA
4,randomized controlled trial,10.1016/j.vaccine.2022.08.036,4,1-s2.0-S0264410X22010283-main.pdf,79591d055f1066325726c99845bf1ed4a9383d3bdf6104e4997ac4e214bab758,96430b28282f4afc9429d2f5898bed07,Harm-benefit ratio,Observation period,"[chu_idx=510]
Harm-beneﬁt ratios will be different for populations at different risk for serious COVID-19 and observation periods that differ from those studied in the trials.",NA
4,randomized controlled trial,10.1016/j.vaccine.2022.08.036,4,1-s2.0-S0264410X22010283-main.pdf,79591d055f1066325726c99845bf1ed4a9383d3bdf6104e4997ac4e214bab758,eec2b638dd9b47a2baf3fa6546b29aa1,risk of adverse events,data source,"[chu_idx=521]
Most observational analyses are based on comparing the risks of adverse events ‘‘observed” against a background (or ‘‘expected”) risk, which inevitably display great variation, by database, age group, and sex.

[chu_idx=533]
Most observational analyses are based on comparing the risks of adverse events ‘‘observed” against a background (or ‘‘expected”) risk, which inevitably display great variation, by database, age group, and sex.",NA
5,randomized controlled trial,10.1056/NEJMoa2102383,5,NEJMoa2102383.pdf,5386174a842adc587038870e0476c2bfe17b7de9a7d24f174116a9d8477a8f84,80ce603e0fa9471c94859211c69c8075,Treatment group,PASI 100 response,"[chu_idx=34]
At week 16, a total of 230 patients (61.7%) in the bimekizumab group and 181 (48.9%) in the secukinumab group had a 100% reduction from baseline in the PASI score (PASI 100) (adjusted risk difference, 12.7 percentage points; 95% confidence interval [CI], 5.8 to 19.6); bimekizumab was shown to be noninferior and superior to secukinumab (P<0.001 for noninferiority and superiority).

[chu_idx=35]
At week 48, a total of 250 patients (67.0%) treated with bimekizumab had a PASI 100 response, as compared with 171 patients (46.2%) treated with secukinumab (adjusted risk difference, 20.9 percentage points; 95% CI, 14.1 to 27.7; P<0.001).

[chu_idx=41]
At week 16, a total of 230 patients (61.7%) in the bimekizumab group and 181 (48.9%) in the secukinumab group had a 100% reduction from baseline in the PASI score (PASI 100) (adjusted risk difference, 12.7 percentage points; 95% confidence interval [CI], 5.8 to 19.6); bimekizumab was shown to be noninferior and superior to secukinumab (P<0.001 for noninferiority and superiority).

[chu_idx=42]
At week 48, a total of 250 patients (67.0%) treated with bimekizumab had a PASI 100 response, as compared with 171 patients (46.2%) treated with secukinumab (adjusted risk difference, 20.9 percentage points; 95% CI, 14.1 to 27.7; P<0.001).",NA
5,randomized controlled trial,10.1056/NEJMoa2102383,5,NEJMoa2102383.pdf,5386174a842adc587038870e0476c2bfe17b7de9a7d24f174116a9d8477a8f84,61d678ede48a4d53817e312203331d8f,Treatment group,PASI 90 response,"[chu_idx=275]
By week 16, a total of 319 patients (85.5%) receiving bimekizumab, as compared with 275 patients (74.3%) receiving secukinumab, had a

[chu_idx=276]
PASI 90 response (adjusted risk difference, 11.3 percentage points; 95% CI, 5.8 to 16.8) (Fig.",NA
5,randomized controlled trial,10.1056/NEJMoa2102383,5,NEJMoa2102383.pdf,5386174a842adc587038870e0476c2bfe17b7de9a7d24f174116a9d8477a8f84,eaad52f8faf247a4b0915a6f30d86282,New-Onset Ulcerative Colitis,Treatment group,"[chu_idx=440]
There was one case of new-onset ulcerative colitis each in the bimekizumab and secukinumab groups, two cases of adjudicated MACE in the secukinumab group, and no cases of MACE in the bimekiz",NA
5,randomized controlled trial,10.1056/NEJMoa2102383,5,NEJMoa2102383.pdf,5386174a842adc587038870e0476c2bfe17b7de9a7d24f174116a9d8477a8f84,927ea3f40bdb493d80a2e3ce31244a92,Secukinumab,Plaque Psoriasis,"[chu_idx=555]
Secukinumab in Plaque Psoriasis",NA
